model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
mixnet_m.ft_in1k,CNN,ImageNet 1k,77.26,50.36382536,70.96018735,56.38297872,72.34042553
mixnet_s.ft_in1k,CNN,ImageNet 1k,75.994,50.15592516,66.47150664,46.80851064,69.14893617
mixnet_xl.ra_in1k,CNN,ImageNet 1k,80.482,51.87110187,67.09601874,61.70212766,64.89361702
mobilenetv2_050.lamb_in1k,CNN,ImageNet 1k,65.948,51.03950104,59.05542545,54.25531915,60.63829787
mobilenetv2_100.ra_in1k,CNN,ImageNet 1k,72.968,49.81808732,61.00702576,54.25531915,63.82978723
mobilenetv2_110d.ra_in1k,CNN,ImageNet 1k,75.054,50.12993763,66.19828259,46.80851064,63.82978723
mobilenetv2_120d.ra_in1k,CNN,ImageNet 1k,77.308,51.55925156,60.0312256,45.74468085,51.06382979
mobilenetv2_140.ra_in1k,CNN,ImageNet 1k,76.516,50.7016632,61.00702576,47.87234043,65.95744681
mobilenetv3_large_100.miil_in21k_ft_in1k,CNN,ImageNet 21k,77.92,49.66216216,64.94925839,40.42553191,67.0212766
mobilenetv3_large_100.ra_in1k,CNN,ImageNet 1k,75.766,49.97401247,64.44184231,47.87234043,62.76595745
mobilenetv3_rw.rmsp_in1k,CNN,ImageNet 1k,75.62,50,70.06245121,55.31914894,68.08510638
mobilenetv3_small_075.lamb_in1k,CNN,ImageNet 1k,65.236,51.24740125,64.63700234,47.87234043,69.14893617
mobilenetv3_small_100.lamb_in1k,CNN,ImageNet 1k,67.658,50.15592516,58.43091335,39.36170213,65.95744681
mvitv2_base.fb_in1k,Transformer,ImageNet 1k,84.45,52.46881497,71.97501952,48.93617021,65.95744681
mvitv2_small.fb_in1k,Transformer,ImageNet 1k,83.77,49.68814969,71.74082748,51.06382979,58.5106383
mvitv2_tiny.fb_in1k,Transformer,ImageNet 1k,82.41,50.67567568,70.41373927,61.70212766,60.63829787
pit_b_224.in1k,Transformer,ImageNet 1k,82.438,52.65072765,72.63856362,54.25531915,70.21276596
pit_b_distilled_224.in1k,Transformer,ImageNet 1k,83.766,51.09147609,70.06245121,47.87234043,62.76595745
pit_s_224.in1k,Transformer,ImageNet 1k,81.086,51.74116424,68.22794692,51.06382979,63.82978723
pit_s_distilled_224.in1k,Transformer,ImageNet 1k,81.814,51.24740125,68.38407494,58.5106383,61.70212766
pit_ti_224.in1k,Transformer,ImageNet 1k,72.91,50.20790021,67.13505074,57.44680851,56.38297872
pit_ti_distilled_224.in1k,Transformer,ImageNet 1k,74.256,50.51975052,65.76893052,52.12765957,63.82978723
pit_xs_224.in1k,Transformer,ImageNet 1k,78.176,50.98752599,68.85245902,53.19148936,63.82978723
pit_xs_distilled_224.in1k,Transformer,ImageNet 1k,79.18,50.5977131,69.47697112,62.76595745,64.89361702
poolformer_m36.sail_in1k,MetaFormer,ImageNet 1k,82.102,51.35135135,65.92505855,56.38297872,58.5106383
poolformer_s12.sail_in1k,MetaFormer,ImageNet 1k,77.24,49.97401247,62.41217799,55.31914894,58.5106383
poolformer_s24.sail_in1k,MetaFormer,ImageNet 1k,80.294,48.49272349,69.43793911,51.06382979,60.63829787
poolformer_s36.sail_in1k,MetaFormer,ImageNet 1k,81.43,51.58523909,64.12958626,60.63829787,55.31914894
